danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature,genre,song_name
0.5770000000000001,0.6920000000000001,11,-5.96,1,0.64,0.372,0.0596,0.0989,0.0658,144.702,5zjdL4aLh3D3wOKeRkZSL6,122483,4,Dark Trap,2000 Rounds
0.8270000000000001,0.7709999999999999,0,-4.374,1,0.318,0.0456,0.0,0.109,0.545,149.86700000000002,1e0HLyx0SlmAhwTm2un9ft,166452,4,Dark Trap,Sea Sick
0.68,0.7070000000000001,2,-5.132999999999999,1,0.127,0.00914,0.0063799999999999,0.0969999999999999,0.228,159.941,0SbKWYPENsANEIIgnCK45e,149804,4,Dark Trap,Grain
0.721,0.899,10,-4.07,0,0.057,0.0116,2.51e-05,0.126,0.0385,142.018,1k31A67B0r2PDytoPR283x,141972,4,Dark Trap,"Beware, the Sirens"
0.777,0.812,8,-5.146,1,0.0447,0.26,0.264,0.185,0.452,139.961,7vNYfMAh3bvHGmRxve1YAg,140613,3,Dark Trap,Kali Yuga
0.579,0.813,7,-4.573,1,0.367,0.0605,3.5e-05,0.365,0.312,215.218,4Ao4XHlqBTKsCil8R6e8fD,135822,4,Dark Trap,Hexada
0.86,0.524,11,-4.698,1,0.0729,0.578,0.96,0.0993,0.142,114.946,6rF4PCqJq0p4MAWgecwfIl,148939,4,Dark Trap,Caligula
0.425,0.508,8,-10.01,1,0.13,0.0639,0.181,0.244,0.0679,130.83700000000002,0K1fOHUHEsv1lnq2yU1VG5,142232,4,Dark Trap,Niagara (feat. Lil Peep)
0.494,0.695,1,-10.566,1,0.7509999999999999,0.00421,0.0158,0.223,0.0722,155.01,5dBP9gDiDlsXiitxvB4HGb,197077,4,Dark Trap,Scrying Through Shattered Glass
0.649,0.772,11,-5.332000000000001,0,0.133,0.7170000000000001,0.00305,0.103,0.0294,219.946,0kHEr6iF9m7mrkTjv9pbZ6,219749,4,Dark Trap,Polaris
0.8140000000000001,0.758,0,-6.5120000000000005,1,0.384,0.185,0.091,0.204,0.82,159.94,5twSsmNWVzQ5VNA6GzwtHn,131590,4,Dark Trap,Rapture
0.37,0.856,7,-5.489,1,0.401,0.4029999999999999,0.00967,0.18,0.0755,158.764,7lnCmYYscC0mijoPe3Blx8,236301,5,Dark Trap,Blackmage
0.888,0.906,1,-4.0280000000000005,1,0.365,0.221,0.000474,0.266,0.477,125.033,4Qwnjgav8p1B2F1EgcMQRW,137822,4,Dark Trap,Tartarus
0.816,0.62,11,-7.803999999999999,1,0.51,0.255,1.09e-05,0.251,0.265,144.981,73IDzojzHitmvwVovPG7V2,184733,3,Dark Trap,Until the Light Takes Us
0.713,0.8390000000000001,4,-6.377000000000001,0,0.349,0.00417,0.706,0.106,0.0369,150.004,0FP2R9giDksk3a1GUQLfOz,149230,4,Dark Trap,As Above so Look out Below
0.449,0.645,4,-4.784,0,0.0366,0.0095599999999999,0.0084599999999999,0.107,0.0589,219.692,1PeIKwD4ifLR2jYWCsUgnX,207442,4,Dark Trap,Swan
0.923,0.94,9,-5.827999999999999,1,0.16,0.0204,9.67e-06,0.136,0.8390000000000001,139.804,0efgEM1LQDbK43rqPH2Iyd,187260,4,Dark Trap,Sneak Diss (feat. So6ix)
0.8320000000000001,0.802,11,-4.039,0,0.22,0.3429999999999999,0.00361,0.139,0.178,220.012,3lTAwJ7GAsm6mFkRejOXIm,166798,4,Dark Trap,Plague Doctor Mask
0.569,0.7120000000000001,1,-4.9110000000000005,0,0.347,0.3779999999999999,3.41e-05,0.144,0.0711,157.231,2U03OmZKC7YIPkYBgJnJfA,145451,1,Dark Trap,Some of Us May Never See the World
0.476,0.825,6,-3.941,1,0.0379,7.44e-05,6.51e-05,0.115,0.43,168.298,3jnTBMdckWNzC7PJV96kQ1,111491,3,Dark Trap,Filth
0.4029999999999999,0.696,10,-5.956,0,0.236,0.00114,0.265,0.0722,0.0696,179.998,164uPGiUKnYHwJOHcgfy1e,272562,4,Dark Trap,Homecoming
0.836,0.706,1,-4.065,1,0.0497,5.19e-05,0.0,0.0927,0.0374,120.045,1j82fFDqVM2Sgb8tfMidBv,76042,3,Dark Trap,Blood
0.818,0.7090000000000001,11,-4.425,1,0.2689999999999999,0.00511,0.0,0.259,0.452,120.058,05ConZJSdJrCGeurdurJ7m,136777,4,Dark Trap,Sweat
0.8490000000000001,0.522,1,-5.513999999999999,1,0.151,0.0019,0.0,0.209,0.0582,119.975,6dCuGVBOQmVNEbRIDEUHy0,138266,4,Dark Trap,Tears
0.703,0.536,11,-4.323,1,0.297,0.000883,0.0112,0.139,0.161,180.048,0vWwLLUSleBmyBGmL5GbLv,107050,4,Dark Trap,Anabolic
0.708,0.298,7,-16.427,1,0.0578,0.698,0.772,0.304,0.118,124.863,2JUs4EVimq0ShpPeIgeokl,139375,4,Dark Trap,HDMI
0.852,0.721,3,-7.4,0,0.0751,0.354,0.000645,0.11,0.8029999999999999,136.07,1LpFxoC3TDeUSjU2qp3Iu1,140187,4,Dark Trap,Dirt
0.6940000000000001,0.514,1,-11.063,0,0.0449,0.0336,0.000164,0.115,0.136,120.011,3MAfAtD9lKvugbWzaz21LS,142000,4,Dark Trap,Oxygen
0.595,0.3329999999999999,6,-13.235,1,0.0416,0.474,0.0268,0.0998,0.105,124.993,63biRmMYSLjClGv5arakyn,123167,4,Dark Trap,Branches
0.721,0.8029999999999999,7,-9.115,0,0.0822,0.557,4.51e-05,0.109,0.175,161.502,5m5aCXvh8q8fBNcGzneWQt,178167,4,Dark Trap,CtrlAltDelete
0.846,0.616,5,-7.82,1,0.0669,0.0129,0.00309,0.1009999999999999,0.133,125.975,6YhDanPMUpBxzIOB8jlgOG,106250,4,Dark Trap,BlastZone (ЗонаПоражения)
0.76,0.5760000000000001,1,-8.238,1,0.0491,0.11,3.41e-06,0.1939999999999999,0.184,218.082,37fcOImXwKOFOUwKYud0W0,140750,4,Dark Trap,CharacterSelect (ВыборПерсонажа)
0.529,0.8170000000000001,8,-10.039,0,0.0945,0.0198,3.98e-05,0.178,0.181,120.01,12WAcEcT03Hkvdwb343fcU,128261,4,Dark Trap,RestInPeace (Prod. by The Virus And Antidote)
0.5589999999999999,0.514,1,-8.78,1,0.0523,0.0203,0.000109,0.0982,0.0911,139.614,4Ms7qEi3z5qNjpD41OWHhf,123500,3,Dark Trap,BlackMold
0.965,0.59,5,-8.639,0,0.0619,0.607,0.0,0.0917,0.462,129.004,3sRfyb4OsHeKhN9yMmXdPz,144735,4,Dark Trap,Toxin
0.596,0.8809999999999999,4,-4.566,0,0.2689999999999999,0.0031899999999999,2.37e-06,0.0798,0.235,172.139,6IBsaKAy1kDhsqDK9niOht,67030,4,Dark Trap,Electric
0.7120000000000001,0.982,1,-2.386,1,0.289,0.0127,0.0,0.147,0.5489999999999999,208.096,0zltCbKuXQlZi0DHEli83W,115383,4,Dark Trap,Cranium
0.6970000000000001,0.873,4,-3.189,1,0.206,0.1369999999999999,0.0,0.22,0.545,132.999,4a9j7bIg4BT9J87pQT7b8j,151667,4,Dark Trap,Friday
0.841,0.516,2,-12.32,1,0.28,0.0892,0.0,0.0781,0.26,120.007,1RlZcBrZ2215I0RIS5ElT0,152137,4,Dark Trap,Hooky
0.7390000000000001,0.4629999999999999,0,-5.4510000000000005,0,0.293,0.00673,0.0,0.423,0.0457,200.092,7EuMuKPHTUKw97m0KJHbtx,175386,4,Dark Trap,Kalaxian Crystals
0.865,0.8909999999999999,0,-5.617999999999999,0,0.265,0.0866,0.0,0.0842,0.6709999999999999,200.074,69m28mCqbgVcDI8GEkUzWw,125048,4,Dark Trap,Slurp
0.775,0.634,0,-7.535,1,0.105,0.176,1.78e-06,0.0628,0.521,200.064,0yOvaZL3DVgvYjzYKfilSF,184189,4,Dark Trap,BROKE ft. Prohibeo
0.7390000000000001,0.498,0,-7.447999999999999,1,0.371,0.136,0.0,0.0939,0.231,139.86700000000002,33wSeazReUjdpjlpG2O7gI,164807,4,Dark Trap,Lies
